BuildingType,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,PrimaryPropertyType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),SteamUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ComplianceStatus
Multifamily LR (1-4),47.63474,-122.27642,1964,4,0,32366,32366,0,Multifamily Housing,87,28.1,27.2,908748,879161,78.6,76.1,257667,879161,0,0,0,2.3,0.1,Compliant
Multifamily LR (1-4),47.62664,-122.35236,1957,3,0,27246,25516,1730,Multifamily Housing,100,22,22,600463,600463,46.1,46.1,104917,357975,2425,242488,0,13.8,0.5,Account Requires Verification
Multifamily LR (1-4),47.62749,-122.34992,1963,4,0,25082,22381,2701,Multifamily Housing,,23,22.4,514457,502253,64.4,62.8,147202,502253,0,0,0,1.3,0.1,Compliant
Multifamily LR (1-4),47.62672,-122.34923,2006,3,2,145085,121700,23385,Mixed Use Property,98,51.6,50.5,6273648,6150782,101.6,100.3,963509,3287493,28633,2863288,0,160.8,1.3,Compliant
Multifamily LR (1-4),47.60377,-122.32971,1926,4,0,47276,33694,13582,Multifamily Housing,96,22.3,21.7,1056323,1023888,54.2,52.4,234789,801099,2228,222789,0,14,0.4,Compliant
Multifamily LR (1-4),47.62517,-122.3486,1910,4,0,22344,22344,0,Multifamily Housing,,30.1,29.8,672089,665024,50.4,50.1,70393,240182,4248,424842,0,23.2,1,Compliant
Multifamily LR (1-4),47.62612,-122.34847,1957,3,0,22331,22331,0,Multifamily Housing,86,35.5,34.3,792855,766201,76.4,73.4,139695,476639,2896,289562,0,16.7,0.7,Compliant
Multifamily LR (1-4),47.62684,-122.34843,2006,3,0,56380,39650,16730,Multifamily Housing,84,38.4,37.9,1523581,1502007,87.9,86.4,309649,1056521,4455,445486,0,26.5,0.7,Compliant
NonResidential,47.62342,-122.29688,1991,3,0,34074,34074,0,Other/Specialty Hospital,,248.4,247.5,8463036,8433957,445.9,446,1061881,3623138,48108,4810820,0,265.2,7.8,Compliant
NonResidential,47.60505,-122.3361,2006,10,0,392552,370327,22225,Hotel,60,88.5,87.5,17550668,17365878,169,168.8,2554364,8715490,86504,8650389,0,482.7,1.3,Compliant
Multifamily LR (1-4),47.65397,-122.38806,1977,4,0,35835,28196,7639,Multifamily Housing,95,29,28.1,817548,791690,81.2,78.6,232031,791689,0,0,0,2.1,0.1,Compliant
Multifamily LR (1-4),47.65332,-122.39163,1968,4,0,30000,30000,0,Multifamily Housing,90,21.5,20.8,643673,624832,60.1,58.3,183128,624832,0,0,0,1.7,0.1,Compliant
Multifamily LR (1-4),47.65273,-122.39162,1968,4,0,25959,25959,0,Multifamily Housing,85,23.8,23.1,617709,599939,66.6,64.7,175832,599939,0,0,0,1.6,0.1,Compliant
Multifamily LR (1-4),47.65245,-122.39186,1968,4,0,25326,25326,0,NA,,,,,,,,0,0,0,0,0,0,0,Not Compliant
Multifamily LR (1-4),47.65211,-122.39234,1967,4,0,37086,37086,0,Multifamily Housing,96,19.4,18.7,718549,694472,54.3,52.4,203538,694472,0,0,0,1.9,0,Account Requires Verification
Multifamily LR (1-4),47.65249,-122.39099,1969,4,0,56104,56104,0,Multifamily Housing,76,25.5,24.7,1431989,1383692,71.5,69.1,405537,1383692,0,0,0,3.7,0.1,Compliant
Multifamily LR (1-4),47.65203,-122.39014,1968,4,0,23705,22146,1559,Multifamily Housing,49,31.5,30.6,1332611,1290809,88.3,85.5,378314,1290809,0,0,0,3.4,0.2,Compliant
Multifamily MR (5-9),47.65201,-122.3891,1970,5,0,28185,28185,0,Multifamily Housing,81,26.7,26.2,752518,739137,74.8,73.4,216629,739137,0,0,0,2,0.1,Compliant
Multifamily MR (5-9),47.65295,-122.39078,1970,5,0,39900,39900,0,Multifamily Housing,78,23.4,22.8,934972,910406,65.6,63.9,266825,910406,0,0,0,2.4,0.1,Compliant
Multifamily MR (5-9),47.65295,-122.39078,1968,5,0,40560,40560,0,Multifamily Housing,57,32.2,31.5,1307618,1275841,90.3,88.1,373928,1275841,0,0,0,3.4,0.1,Compliant
Multifamily MR (5-9),47.6531,-122.39027,1968,5,0,44687,44687,0,Multifamily Housing,77,26.5,26.1,1184383,1164268,74.2,73,341227,1164268,0,0,0,3.1,0.1,Compliant
Multifamily MR (5-9),47.65068,-122.38877,1973,5,0,32441,32441,0,Multifamily Housing,85,22,21.8,713831,707960,61.6,61.1,207491,707960,0,0,0,1.9,0.1,Compliant
Multifamily MR (5-9),47.65115,-122.38881,1973,5,0,33466,33466,0,Multifamily Housing,78,25.7,25,859799,835500,71.9,69.9,244871,835500,0,0,0,2.2,0.1,Compliant
Multifamily MR (5-9),47.6513,-122.38887,1973,5,0,36178,36178,0,Multifamily Housing,85,23.1,22.4,835060,810283,64.6,62.7,237480,810283,0,0,0,2.2,0.1,Compliant
Multifamily LR (1-4),47.65186,-122.38842,1974,4,0,29588,29588,0,Multifamily Housing,81,25.7,25.7,760418,761002,72,72,223037,761002,0,0,0,2,0.1,Compliant
Multifamily LR (1-4),47.65185,-122.38782,1974,4,0,34602,34602,0,Multifamily Housing,94,20.5,20.4,709766,704375,57.4,57,206441,704375,0,0,0,1.9,0.1,Compliant
Multifamily LR (1-4),47.65338,-122.38793,1980,4,0,45057,39514,5543,Multifamily Housing,77,26.8,26,1059392,1027251,75.1,72.8,301070,1027251,0,0,0,2.7,0.1,Compliant
Multifamily LR (1-4),47.65083,-122.38937,1968,4,0,32452,32452,0,Multifamily Housing,100,12.2,11.8,395926,383464,34.2,33.1,112387,383464,0,0,0,1,0,Account Requires Verification
NonResidential,47.71846,-122.3216,1961,2,2,76475,76475,0,Worship Facility,,23,22.3,1755509,1707307,34.5,33.8,133098,454129,12532,1253178,0,67.8,0.9,Compliant
NonResidential,47.71923,-122.32171,1988,2,0,32961,32961,0,K-12 School,77,46.8,44.8,1542433,1477672,70.5,68.5,118073,402866,10748,1074807,0,58.2,1.8,Compliant
Multifamily LR (1-4),47.72025,-122.31858,1967,4,0,24800,24800,0,Multifamily Housing,74,26,25.4,645674,631153,72.9,71.3,184980,631153,0,0,0,1.7,0.1,Compliant
Multifamily LR (1-4),47.72004,-122.31924,1986,3,0,28470,25144,3326,Multifamily Housing,86,26.1,25.5,655322,641238,73,71.4,187936,641238,0,0,0,1.7,0.1,Compliant
Multifamily MR (5-9),47.56574,-122.38716,2006,5,0,31299,31299,0,Multifamily Housing,56,30.2,29.5,946671,924587,78.2,76.7,239344,816642,1079,107945,0,7.9,0.3,Compliant
Nonresidential COS,47.6875,-122.35496,2004,1,0,27376,12806,14570,Library,,98.6,96.7,1262433,1238773,202.5,201.8,214949,733407,5054,505366,0,28.8,2.2,Compliant
Multifamily LR (1-4),47.64273,-122.38414,1969,4,0,24444,24444,0,Multifamily Housing,84,30.7,29.7,552204,534691,85.9,83.2,156709,534691,0,0,0,1.4,0.1,Compliant
Multifamily LR (1-4),47.64611,-122.39791,1978,4,0,27997,27997,0,Multifamily Housing,38,27,26,756047,729014,75.6,72.9,213662,729014,0,0,0,1.9,0.1,Compliant
Multifamily LR (1-4),47.66087,-122.35133,1969,3,0,25268,22151,3117,Multifamily Housing,95,22.6,21.9,499797,484720,63.2,61.3,142063,484720,0,0,0,1.3,0.1,Compliant
Multifamily LR (1-4),47.66133,-122.34973,1990,4,0,45111,30055,15056,Multifamily Housing,,31,30.4,932279,913426,86.9,85.1,267710,913426,0,0,0,2.4,0.1,Compliant
Multifamily LR (1-4),47.65921,-122.34685,1997,4,0,63317,48118,15199,Multifamily Housing,84,27.7,27.3,1317225,1297851,77.6,76.4,380378,1297851,0,0,0,3.5,0.1,Compliant
Multifamily LR (1-4),47.66027,-122.34704,1995,4,0,66300,45271,21029,Multifamily Housing,86,30.3,29.3,1372738,1328146,84.9,82.1,389257,1328146,0,0,0,3.5,0.1,Compliant
Multifamily LR (1-4),47.69079,-122.35157,2002,4,0,183524,114443,69081,Multifamily Housing,,27.5,27.3,3143856,3125266,76.9,76.5,915963,3125266,0,0,0,8.3,0.1,Compliant
Campus,47.62291,-122.28879,1950,1,0,109794,109794,0,K-12 School,34,45,43.4,4944826,4769006,86.4,84.7,718683,2452148,23169,2316858,0,129.6,1.2,Compliant
Multifamily MR (5-9),47.61792,-122.3078,1989,5,0,38560,31769,6791,Multifamily Housing,85,25.4,24.8,806818,787189,71.1,69.4,230712,787189,0,0,0,2.1,0.1,Compliant
NonResidential,47.61796,-122.30847,1911,3,0,25200,25200,0,Other - Lodging/Residential,,50.7,48.2,1277680,1215859,72.3,69.7,80515,274717,9411,941142,0,50.7,2,Compliant
NonResidential,47.70941,-122.31707,1996,1,0,44755,44755,0,Supermarket/Grocery Store,72,218.5,216,10263207,10149106,438.2,437,1653468,5641633,45075,4507472,0,254.5,5.7,Compliant
NonResidential,,,1907,2,0,22320,22320,0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,10.8,10.4,240690,231016,21.6,21.1,38321,130753,1003,100264,0,5.7,0.3,Compliant
NonResidential,47.6139,-122.32034,1912,3,0,24000,24000,0,Mixed Use Property,,37.1,36.7,890068,881169,98.2,97.8,238142,812542,686,68627,0,5.8,0.2,Compliant
NonResidential,47.61392,-122.31643,1920,2,0,21228,21228,0,Other - Mall,,33.1,33.1,703057,703057,92.7,92.7,206054,703057,0,0,0,1.9,0.1,Compliant
NonResidential,47.61393,-122.31589,1920,3,0,23422,23422,0,Office,44,124.4,124.4,2914347,2914347,154.9,154.9,95127,324572,25898,2589775,0,138.4,5.9,Compliant
NonResidential,47.61674,-122.31111,1975,2,0,38879,27551,11328,Urgent Care/Clinic/Other Outpatient,,89.9,87.3,3495856,3394208,247.1,239.8,964549,3291041,1032,103167,0,14.3,0.5,Compliant
Multifamily LR (1-4),47.61616,-122.3111,1926,3,0,40112,40112,0,Multifamily Housing,93,39.3,37.2,1576870,1493078,54.4,52.2,88133,300709,11924,1192369,0,64.1,1.6,Compliant
Multifamily LR (1-4),47.61598,-122.31034,1924,3,0,25808,25808,0,Multifamily Housing,83,37.3,36.2,962259,935536,74.9,72.5,149049,508556,4270,426980,0,24,0.9,Compliant
NonResidential,47.61554,-122.31098,1998,5,0,53034,38409,14625,Mixed Use Property,90,94.9,92.7,3595920,3513781,189.2,187.4,571059,1948453,15653,1565328,0,88.3,2.3,Compliant
Multifamily MR (5-9),47.6149,-122.31104,1912,6,0,48700,44644,4056,Multifamily Housing,94,36,34,1606086,1518502,63.6,60.6,185915,634341,8842,884161,0,48.7,1.1,Compliant
Multifamily LR (1-4),47.61538,-122.31034,1904,3,0,25536,25536,0,Multifamily Housing,59,73.1,68.3,1867705,1745031,88.1,83.1,48483,165424,15796,1579607,0,84.3,3.3,Compliant
Multifamily HR (10+),47.61455,-122.31043,1972,12,0,93021,93021,0,Multifamily Housing,,63.9,62,5592286,5421230,148.8,144,1155733,3943361,14779,1477870,0,89,1,Compliant
SPS-District K-12,47.61337,-122.30929,1940,1,0,57048,57048,0,K-12 School,,,,,,,,318271,1085941,0,0,0,2.9,0.1,Not Compliant
Multifamily LR (1-4),47.61175,-122.3098,1929,4,0,23616,23616,0,Multifamily Housing,45,59.6,56.4,1407358,1332774,84.6,81.3,87277,297788,10350,1034986,0,55.8,2.4,Compliant
Multifamily LR (1-4),47.61433,-122.30921,1988,4,0,28080,24865,3215,Multifamily Housing,82,27.2,26.8,676580,666322,76.2,75,195288,666322,0,0,0,1.8,0.1,Compliant
NonResidential,47.61481,-122.31536,1920,2,0,23040,23040,0,Non-Refrigerated Warehouse,,,,,,,,,,,,,,,Account Requires Verification
Multifamily LR (1-4),47.6151,-122.31461,1910,3,0,20509,20509,0,Multifamily Housing,100,29.9,29.2,613007,598092,52.6,51.1,70359,240065,3580,358027,0,19.7,1,Account Requires Verification
Multifamily MR (5-9),47.61492,-122.31654,1910,6,0,74725,62338,12387,Multifamily Housing,55,50.6,50.4,3198604,3187766,99.8,99.7,494044,1685679,15021,1502087,0,84.3,1.4,Compliant
NonResidential,47.61469,-122.31596,1958,2,0,61880,61880,0,Self-Storage Facility,,12,12,743826,743826,33.7,33.7,218003,743826,0,0,0,2,0,Compliant
Multifamily MR (5-9),47.61621,-122.32241,1940,5,0,50356,50356,0,Multifamily Housing,99,57,54.7,2870777,2753460,74.9,72.4,126523,431696,23218,2321764,0,124.5,2.5,Compliant
NonResidential,47.61556,-122.32048,1925,2,0,27938,27938,0,Office,,39,39.4,1056057,1068744,108.8,110.1,312077,1064805,39,3939,0,3,0.1,Compliant
Multifamily MR (5-9),47.6646,-122.31558,2006,6,0,65826,42189,23637,Multifamily Housing,,35.7,35.1,2348216,2313502,99.9,98.4,678049,2313502,0,0,0,6.2,0.1,Compliant
Multifamily MR (5-9),47.66459,-122.31601,1991,5,0,64227,47241,16986,Multifamily Housing,97,40.8,39.8,1927630,1878525,77,75.1,263893,900402,9781,978123,0,54.4,1.2,Compliant
Multifamily MR (5-9),47.66391,-122.31602,2001,6,0,91916,66195,25721,Multifamily Housing,86,33.3,33.3,1955664,1953583,93.3,93.2,572562,1953583,0,0,0,5.2,0.1,Compliant
Multifamily MR (5-9),47.66326,-122.31603,2000,5,0,33480,25167,8313,Multifamily Housing,100,38.6,37.7,970307,948784,80.5,78.8,165244,563814,3850,384970,0,22,0.9,Compliant
NonResidential,47.66386,-122.31715,1924,2,0,21600,21600,0,Other - Services,,37.8,37.8,1598054,1598054,106,106,468363,1598055,0,0,0,4.3,0.2,Compliant
Nonresidential COS,47.66506,-122.31656,1929,3,0,27908,27908,0,Fire Station,,87.5,84.6,1915936,1851269,160,156.9,249548,851458,9998,999810,0,55.4,2,Compliant
Multifamily LR (1-4),47.66665,-122.31707,2003,4,0,24722,17006,7716,Multifamily Housing,,32.5,31.8,589360,577931,90.9,89.1,169382,577931,0,0,0,1.5,0.1,Compliant
Campus,47.62291,-122.28879,2000,2,0,30562,30562,0,K-12 School,50,53.3,50.7,1629884,1548331,93.2,90.4,190415,649697,8986,898634,0,49.5,1.6,Compliant
Multifamily LR (1-4),47.65488,-122.32641,1997,4,0,43422,43422,0,Multifamily Housing,38,49.6,47.8,1863189,1797095,93.8,91.8,261624,892660,9044,904435,0,50.4,1.2,Compliant
NonResidential,47.59951,-122.32033,2000,3,0,54969,54969,0,Retail Store,20,81.1,81.1,4460254,4460254,214.9,214.9,1193790,4073211,3870,387044,0,31.4,0.6,Compliant
NonResidential,47.61395,-122.31253,1951,2,0,36825,36825,0,K-12 School,94,23.8,23.1,1539339,1490714,49.4,48.6,263558,899261,5915,591453,0,33.8,0.9,Compliant
Multifamily LR (1-4),47.61446,-122.31216,1908,4,0,36546,31228,5318,Multifamily Housing,73,32.7,31.7,1020775,990128,91,88.2,287225,980013,101,10115,0,3.2,0.1,Compliant
Multifamily MR (5-9),47.61481,-122.31256,2008,7,0,101530,75050,26480,Multifamily Housing,78,48.6,48,3645318,3605919,96.7,96.2,574793,1961194,16447,1644725,0,92.6,1.2,Account Requires Verification
NonResidential,47.61546,-122.31195,1958,3,0,25834,25834,0,Office,66,57.7,55.7,1836313,1773414,129.7,126.3,361402,1233103,5403,540311,0,32,1.2,Compliant
Multifamily LR (1-4),47.61682,-122.3123,1962,4,0,26172,26172,0,Multifamily Housing,66,29.2,28.6,765255,748614,81.9,80.1,219406,748614,0,0,0,2,0.1,Compliant
Multifamily LR (1-4),47.61745,-122.31235,1909,3,0,25920,25920,0,Multifamily Housing,81,30.8,29.6,797510,767632,66.8,63.9,142475,486125,2815,281506,0,16.2,0.6,Compliant
Multifamily LR (1-4),47.69309,-122.35359,1985,4,0,26112,26112,0,Multifamily Housing,99,20,19.4,522543,505768,56,54.2,148232,505768,0,0,0,1.4,0.1,Account Requires Verification
NonResidential,47.63193,-122.32126,1929,1,0,37700,37700,0,Worship Facility,44,68,63.1,3548696,3296698,98.6,93,233985,798356,24983,2498341,0,134.8,3.6,Compliant
Multifamily MR (5-9),47.63992,-122.37471,1980,5,0,62093,62093,0,Multifamily Housing,73,29.6,29.3,1565952,1548064,83,82.1,453712,1548065,0,0,0,4.1,0.1,Compliant
Multifamily LR (1-4),47.59926,-122.28563,1956,4,0,23856,23856,0,Multifamily Housing,76,35.4,34.4,704126,683439,99.2,96.3,200304,683439,0,0,0,1.8,0.1,Compliant
Multifamily MR (5-9),47.6139,-122.3272,1998,7,0,69272,69272,0,Multifamily Housing,,40.4,39.5,2270912,2222114,89.9,88.4,441244,1505526,7166,716588,0,42.1,0.6,Compliant
SPS-District K-12,47.64063,-122.30428,1925,2,0,27273,27273,0,K-12 School,76,44.2,41.1,1211311,1126042,73.7,69.6,121317,413933,7121,712109,0,38.9,1.4,Compliant
Multifamily LR (1-4),47.63982,-122.30181,1926,2,0,20366,20366,0,Multifamily Housing,,75.9,72.6,1546003,1478616,111.8,108.5,110088,375619,11030,1102997,0,59.6,2.9,Compliant
Multifamily LR (1-4),47.71307,-122.31246,1974,4,0,23888,23888,0,Multifamily Housing,81,25.6,25.3,611234,603317,71.6,70.7,176822,603317,0,0,0,1.6,0.1,Compliant
Multifamily LR (1-4),47.71606,-122.31215,2000,4,0,45579,32817,12762,Multifamily Housing,95,27,26.7,891655,879172,75.7,74.6,257671,879172,0,0,0,2.3,0.1,Compliant
Multifamily LR (1-4),47.71313,-122.31214,1997,4,0,23175,23175,0,Multifamily Housing,89,29.7,28.7,688380,664661,63.5,61.9,123562,421592,2431,243069,0,14,0.6,Compliant
Multifamily MR (5-9),47.61608,-122.30967,2004,6,0,97229,62256,34973,Mixed Use Property,100,12.1,11.8,751706,737625,33.8,33.2,216186,737625,0,0,0,2,0,Account Requires Verification
Multifamily MR (5-9),47.61672,-122.3098,1969,7,0,72716,72716,0,Multifamily Housing,73,43.8,42.1,3183393,3064640,106.2,101.9,701639,2393993,6706,670647,0,42,0.6,Compliant
Multifamily MR (5-9),47.61598,-122.3077,2002,5,0,73495,46895,26600,Multifamily Housing,92,66.9,65.2,3135878,3056568,96.8,94.3,203354,693842,23627,2362726,0,127.3,2.7,Compliant
Multifamily LR (1-4),47.61269,-122.3085,1969,3,0,37824,37824,0,Multifamily Housing,73,40.7,39.5,1864282,1807914,94.1,91.1,380834,1299404,5085,508510,0,30.5,0.8,Compliant
NonResidential,47.69898,-122.34162,1982,3,0,25111,25111,0,Office,74,44.6,43,986131,950088,88.8,87.1,155260,529747,4203,420341,0,23.7,0.9,Not Compliant
Multifamily MR (5-9),47.69837,-122.34166,2008,6,0,31234,18614,12620,Multifamily Housing,99,22.5,22.1,986607,968063,63,61.8,283723,968063,0,0,0,2.6,0.1,Compliant
Multifamily LR (1-4),47.69838,-122.34111,1987,3,0,34023,25338,8685,Multifamily Housing,93,27.7,27.1,701816,687747,77.6,76,201567,687747,0,0,0,1.8,0.1,Compliant
Multifamily LR (1-4),47.53888,-122.39201,1951,4,0,203155,193700,9455,Multifamily Housing,,34.9,34.2,6754454,6626340,86.2,84.7,1581608,5396446,12299,1229892,0,79.7,0.4,Not Compliant
Multifamily LR (1-4),47.54005,-122.39503,1963,4,1,22984,22984,0,Multifamily Housing,67,28,27.2,642636,624594,78.3,76.1,183058,624594,0,0,0,1.7,0.1,Compliant
Multifamily LR (1-4),47.53986,-122.39469,1968,4,1,26342,21464,4878,NA,,,,,,,,0,0,0,0,0,0,0,Not Compliant
Multifamily LR (1-4),47.61964,-122.35469,1907,3,0,24329,24329,0,Multifamily Housing,61,99.5,95.5,2419845,2322929,127.3,123,92510,315646,20073,2007283,0,107.5,4.4,Account Requires Verification
Multifamily LR (1-4),47.69209,-122.31794,2006,4,0,29588,29588,0,Multifamily Housing,,45,44.3,1349434,1329394,92.4,91.7,227190,775171,5542,554223,0,31.5,1.1,Compliant
Multifamily MR (5-9),47.61944,-122.32318,1993,6,0,82519,82519,0,Multifamily Housing,80,43.9,42.6,2744694,2664365,93.4,91.8,491821,1678093,9863,986272,0,56.9,0.7,Compliant
Multifamily MR (5-9),47.62825,-122.35714,1970,6,0,37843,37843,0,Multifamily Housing,92,45,43.3,1702418,1637900,75.9,73.1,175445,598617,10393,1039283,0,56.8,1.5,Compliant
Multifamily LR (1-4),47.65426,-122.40138,1984,3,0,35787,35787,0,Multifamily Housing,71,28,27.2,1003797,972882,78.5,76.1,285136,972882,0,0,0,2.6,0.1,Compliant
NonResidential,47.64725,-122.39977,1953,2,0,31805,31805,0,Worship Facility,20,55.3,52,1757230,1653423,81.4,77.3,120959,412713,12407,1240710,0,67,2.1,Compliant
NonResidential,47.64725,-122.39977,1953,1,0,20811,20811,0,K-12 School,45,71.9,67.9,1497104,1413097,120.1,114.9,152143,519113,8940,893984,0,48.9,2.3,Compliant
Multifamily LR (1-4),47.69953,-122.36843,1986,4,0,28328,28328,0,Multifamily Housing,68,26.9,26.3,761140,745146,75.2,73.7,218390,745146,0,0,0,2,0.1,Compliant
Nonresidential COS,47.59393,-122.32211,1967,2,0,22058,22058,0,Non-Refrigerated Warehouse,9,99.7,94.5,1987083,1884019,180.1,173.5,247639,844945,10391,1039074,0,57.4,2.6,Compliant
Multifamily MR (5-9),47.58836,-122.38032,1998,6,0,42188,42188,0,Multifamily Housing,,35.3,34.1,1487770,1438771,67,65.4,209322,714207,7246,724564,0,40.4,1,Compliant
Multifamily MR (5-9),47.59478,-122.38513,1998,6,0,36730,36730,0,Multifamily Housing,,28.3,27.5,1039716,1009004,57.1,55.7,165377,564268,4447,444736,0,25.1,0.7,Compliant
NonResidential,47.56268,-122.32364,1970,1,0,22890,22890,0,Refrigerated Warehouse,3,206.5,208.2,9567559,9648359,542.8,549.3,2566265,8756096,8923,892262,0,70.8,3.1,Compliant
NonResidential,47.56166,-122.3237,1907,5,0,36000,36000,0,Other,,34.9,33.2,1257453,1195711,53.7,51.6,101107,344977,8507,850734,0,46.1,1.3,Compliant
NonResidential,47.5616,-122.32603,1971,1,0,28320,28320,0,Distribution Center,1,157.7,155.1,4465537,4391072,380.7,377.9,1020211,3480960,9101,910113,0,57.6,2,Not Compliant
Multifamily LR (1-4),47.54093,-122.39431,1964,3,0,26498,26498,0,Multifamily Housing,73,30.2,29.4,781268,760185,84.5,82.2,222798,760185,0,0,0,2,0.1,Compliant
Multifamily LR (1-4),47.53594,-122.37703,1978,3,0,28683,28683,0,Multifamily Housing,,23.6,22.9,677207,656149,66.1,64.1,192306,656149,0,0,0,1.8,0.1,Account Requires Verification
Multifamily LR (1-4),47.72826,-122.34861,1982,3,0,96869,96869,0,Multifamily Housing,95,26.9,26.7,2264628,2255307,75.2,74.9,660993,2255307,0,0,0,6,0.1,Compliant
Multifamily LR (1-4),47.70706,-122.33527,1986,3,0,51908,42045,9863,Multifamily Housing,77,25.7,25.5,1316811,1307309,71.8,71.3,383150,1307309,0,0,0,3.5,0.1,Compliant
Multifamily LR (1-4),47.70705,-122.33444,1987,4,0,46339,36278,10061,Multifamily Housing,81,25,24.9,1071657,1065873,70,69.7,312390,1065873,0,0,0,2.8,0.1,Compliant
Multifamily LR (1-4),47.70735,-122.33462,1987,4,0,43245,38311,4934,Multifamily Housing,90,22.1,21.9,956420,949922,61.9,61.4,278406,949922,0,0,0,2.5,0.1,Compliant
Multifamily LR (1-4),47.70761,-122.33449,1989,4,0,56800,56800,0,Multifamily Housing,74,29.3,29,1729184,1713425,82,81.3,502176,1713425,0,0,0,4.6,0.1,Compliant
NonResidential,47.67816,-122.28998,1955,1,0,29079,29079,0,Worship Facility,57,31.4,30.5,913841,886568,63.6,62.6,148985,508335,3782,378233,0,21.4,0.7,Compliant
NonResidential,47.63441,-122.28061,1982,3,0,28848,19232,9616,Office,76,39.3,38.3,756173,736212,110.1,107.2,215772,736212,0,0,0,2,0.1,Compliant
Multifamily LR (1-4),47.52,-122.26034,1967,4,0,42816,42816,0,Multifamily Housing,67,30.2,29.5,1291764,1263367,84.5,82.6,370272,1263367,0,0,0,3.4,0.1,Compliant
Multifamily HR (10+),47.61921,-122.33807,2007,11,0,399935,308030,91905,Multifamily Housing,24,71.7,71.1,15805072,15664169,123.1,122.9,1778641,6068723,95954,9595445,0,525.8,1.7,Compliant
NonResidential,47.65564,-122.36191,1988,2,0,20535,20535,0,Office,11,99.1,96.5,2159567,2102918,202.6,199.9,359949,1228147,8748,874771,0,49.7,2.4,Compliant
NonResidential,47.65223,-122.36147,1985,2,1,46024,36256,9768,Laboratory,,281.9,273.9,10221721,9929795,545.7,540.1,1533243,5231425,46984,4698368,0,263.5,7.3,Compliant
Multifamily HR (10+),47.60806,-122.34037,1984,12,0,70939,70939,0,Multifamily Housing,,43.2,41.7,3066714,2959402,109.9,105.7,735472,2509432,4500,449970,0,30.6,0.4,Compliant
NonResidential,47.54769,-122.3251,1965,1,0,30800,30800,0,Non-Refrigerated Warehouse,81,9.8,9.8,302802,302802,27.5,27.5,88746,302802,0,0,0,0.8,0,Compliant
Multifamily MR (5-9),47.70279,-122.32434,2008,7,1,124642,124642,0,Multifamily Housing,,40.7,40.3,5063795,5021589,113.8,112.9,1471743,5021587,0,0,0,13.4,0.1,Not Compliant
Multifamily MR (5-9),47.70222,-122.32532,2008,7,0,120520,120520,0,Multifamily Housing,98,22.7,22.5,2624086,2606974,63.4,63,764060,2606974,0,0,0,7,0.1,Compliant
Multifamily LR (1-4),47.70188,-122.32459,2008,4,0,102522,102522,0,Multifamily Housing,1,131.2,128.2,13448634,13139219,205.4,201.2,1144029,3903427,92358,9235794,0,500.9,4.9,Account Requires Verification
Multifamily LR (1-4),47.71025,-122.3202,1970,2,0,30984,30984,0,Multifamily Housing,73,39.1,37.6,1210951,1163926,109.4,105.2,341127,1163926,0,0,0,3.1,0.1,Compliant
Multifamily LR (1-4),,,1995,3,0,124930,124930,0,Senior Care Community,,49.7,49.4,6570013,6538405,106.5,105.6,1189117,4057267,24811,2481137,0,142.6,1.1,Compliant
Multifamily MR (5-9),47.60219,-122.3313,1908,7,0,159840,139860,19980,Multifamily Housing,10,101.5,98.8,14201121,13818047,193.6,189.2,2000793,6826706,69913,6991340,0,389.5,2.8,Compliant
Multifamily LR (1-4),47.55455,-122.2814,2008,4,0,43732,43732,0,Multifamily Housing,13,75.7,72.7,3309790,3180459,117.1,114,275819,941095,22394,2239364,0,121.4,2.8,Compliant
NonResidential,47.60122,-122.33113,1900,3,1,22168,22168,0,Mixed Use Property,,83,81,1839852,1794505,153.3,151.1,245577,837910,9566,956595,0,53,2.4,Compliant
NonResidential,47.59416,-122.3267,1922,1,0,37400,37400,0,Non-Refrigerated Warehouse,83,20.1,20.3,751843,759194,52.8,53.3,200995,685794,734,73400,0,5.7,0.2,Compliant
Multifamily LR (1-4),47.57963,-122.29548,1960,4,0,21200,21200,0,Multifamily Housing,86,26.4,25.8,560526,547196,74,72.3,160374,547195,0,0,0,1.5,0.1,Compliant
Multifamily LR (1-4),47.57927,-122.29548,1960,4,0,21200,21200,0,Multifamily Housing,88,26.4,25.7,559891,545137,73.9,72,159770,545137,0,0,0,1.5,0.1,Compliant
Multifamily LR (1-4),47.57854,-122.29488,1960,4,0,20365,20365,0,Multifamily Housing,,25.8,25.2,525229,512922,72.2,70.5,150329,512923,0,0,0,1.4,0.1,Compliant
Multifamily MR (5-9),47.6557,-122.31244,1925,8,0,97923,97923,0,Multifamily Housing,12,137.8,132.4,9666657,9284942,198.9,191.9,422118,1440267,647,64667,7780008,420.9,4.3,Account Requires Verification
